"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Open...","Open...","Öffnen ...","Open ...","Åbn ...","打开...","Abierto...","Открыто...","Mở...","開いた...","Åpen...","열다...","తెరువు ...","खुला...","افتح..."
"Create...","Create...","Erstellen ...","Créer ...","Opret ...","创建...","Crear...","Создайте...","Tạo nên...","作成...","Skape...","몹시 떠들어 대다...","సృష్టించు ...","सर्जन करना...","خلق..."
"Save...","Save...","Speichern ...","Enregistrer ...","Spar ...","保存...","Salvar...","Сохранить...","Tiết kiệm...","セーブ...","Lagre...","구하다...","సేవ్ ...","बचाना...","حفظ..."
"Show My Simulation Folder","Show My Simulation Folder","Show My Simulation Ordner","Afficher mon dossier de simulation","Vis min simulation Folder","显示我的模拟文件夹","Mostrar Mi carpeta de simulación","Показать мою Simulation папку","Hiển thị thư mục mô phỏng của tôi","私のシミュレーションフォルダを表示します","Vis min simulering mappe","내 시뮬레이션 폴더보기","నా అనుకరణ ఫోల్డర్ చూపించు","दिखाएँ मेरे सिमुलेशन फ़ोल्डर","عرض مجلد محاكاة بلدي"
"Restart Simulation","Restart Simulation","Restart Simulation","Simulation redémarrage","Genstart Simulation","重新启动仿真","Simulación reinicio","Перезапуск Simulation","Mô phỏng khởi động lại","再起動シミュレーション","Restart Simulering","다시 시작 시뮬레이션","పునఃప్రారంభించు అనుకరణ","पुनः प्रारंभ सिमुलेशन","محاكاة إعادة تشغيل"
"Activities","Activities","Aktivitäten","activités","Aktiviteter","活动","Ocupaciones","мероприятия","Các hoạt động","活動","aktiviteter","활동","చర్యలు","क्रियाएँ","أنشطة"
"Introduction","Introduction","Einführung","introduction","Introduktion","介绍","Introducción","Введение","Giới thiệu","前書き","Introduksjon","소개","పరిచయం","परिचय","المقدمة"
"Climate Intro","Climate Intro","Klima Intro","Intro climatique","Klima Intro","气候简介","Introducción climático","Климат Введение","khí hậu Giới thiệu","気候イントロ","klima~~POS=TRUNC Intro","기후 소개","వాతావరణ ఉపోద్ఘాతం","जलवायु पहचान","مقدمة المناخ"
"Exploring the Solar Neighborhood","Exploring the Solar Neighborhood","Erkundung der Sonnenumgebung","Explorer le Quartier solaire","Udforskning af Solar Neighborhood","探索太阳能邻居","Explorar la vecindad solar","Исследуя окрестности Солнца","Khám phá các Vùng lân cận năng lượng mặt trời","太陽の近所を探ります","Exploring the Solar Neighborhood","태양 이웃 탐색","సౌర పరిసరం ఎక్స్ప్లోరింగ్","सौर पड़ोस की खोज","استكشاف الجوار الشمسية"
"Eccentricity Intro","Eccentricity Intro","Exzentrizität Intro","excentricité Intro","excentricitet Intro","偏心简介","excentricidad Intro","Эксцентриситет Введение","lệch tâm Giới thiệu","偏心イントロ","eksentrisitet Intro","편심 소개","వైపరీత్యము ఉపోద్ఘాతం","सनक पहचान","الانحراف مقدمة"
"Phases of the Moon","Phases of the Moon","Phasen des Mondes","Phases de la Lune","Phases of the Moon","月相","Fases de la luna","Фазы Луны","Chu kỳ mặt trăng","盈虧","Faser av månen","달의 위상","చందమామ దశలు","चन्द्रमा की कलाएँ","مراحل القمر"
"Feedback","Feedback","Rückkopplung","réaction","Feedback","反馈","Realimentación","Обратная связь","Phản hồi","フィードバック","Tilbakemelding","피드백","అభిప్రాయం","प्रतिक्रिया","ردود الفعل"
"Run Performance Test","Run Performance Test","Leistungstest","Test de Performance Run","Kør ydeevne Test","运行性能测试","Performance Test Run","Run Test Performance","Chạy thử nghiệm Hiệu suất","ファイル名を指定して実行性能試験","Kjør Performance Test","실행 성능 테스트","రన్ ప్రదర్శన టెస్ట్","भागो प्रदर्शन परीक्षण","تشغيل اختبار الأداء"
"Send Feedback","Send Feedback","Schicken Sie Feedback","Envoyer des commentaires","Send feedback","发送反馈","Enviar comentarios","Отправить отзыв","Gửi phản hồi","フィードバックを送信","Send tilbakemelding","의견 보내기","అభిప్రాయాన్ని పంపండి","प्रतिक्रिया भेजें","ارسل رأيك"
"Show Log File in Folder","Show Log File in Folder","Zeige Log-Datei im Ordner","Afficher fichier journal dans le dossier","Vis Log fil i mappe","在文件夹日志文件","Mostrar archivo de registro en la carpeta","Показать файл журнала в папке","Hiện Log File trong thư mục","フォルダ内のログファイルを表示します","Vis loggfil i mappe","폴더에서 로그 파일보기","ఫోల్డర్ లో లాగ్ ఫైల్ చూపించు","फ़ोल्डर में लॉग फ़ाइल दिखाएँ","عرض ملف سجل في مجلد"
"Open Log File","Open Log File","Protokolldatei öffnen","Ouvrir le fichier journal","Åbn logfil","打开日志文件","Abrir archivo de registro","Open Log File","Open File Log","ログファイルを開きます","Åpne loggfil","열기 로그 파일","ఓపెన్ లాగ్ ఫైల్","ओपन लॉग फ़ाइल","فتح ملف دخول"
"Open Crash Dump Location","Open Crash Dump Location","Öffnen Absturzabbild Ort","Dump sur Open Crash Localisation","Open Crash Dump placering","打开崩溃转储位置","Abrir la ubicación de volcado","Open Краш самосвала Расположение","Open Crash Dump Location","オープンクラッシュダンプの場所","Åpne Crash Dump Location","열기 크래시 덤프 위치","ఓపెన్ క్రాష్ డంప్ స్థానం","ओपन क्रैश डम्प स्थान","فتح تحطم تفريغ الموقع"
"Experimental","Experimental","Experimentell","expérimental","Eksperimentel","试验","Experimental","экспериментальный","thực nghiệm","実験的","eksperimentell","실험","ప్రయోగాత్మక","प्रयोगात्मक","تجريبي"
"Hands Free Demo","Hands Free Demo","Hands Free Demo","Mains Démo gratuite","Håndfri Demo","免提演示","Manos de demostración gratuita","Hands Free Demo","Hands Miễn phí Demo","ハンズフリーデモ","Hands Free Demo","손 무료 데모","చేతులు ఉచిత డెమో","Hands Free डेमो","يد تجريبي مجاني"
"Toggle VR Mode","Toggle VR Mode","Toggle VR-Modus","Mode Toggle VR","Skift VR-tilstand","切换VR模式","Alternar modo VR","Переключить режим VR","Chế độ bật tắt VR","トグルVRモード","Toggle VR Mode","전환 VR 모드","టోగుల్ VR మోడ్","टॉगल वी.आर. मोड","وضع تبديل VR"
"Tools","Tools","Extras","outils","Værktøj","工具","Herramientas","инструменты","Công cụ","ツール","Verktøy","도구","పరికరములు","उपकरण","أدوات"
"Graphs","Graphs","Graphs","graphiques","Grafer","图表","Los gráficos","диаграммы","đồ thị","グラフ","grafer","그래프","గ్రాఫ్స్","रेखांकन","الرسوم البيانية"
"Profiler","Profiler","Profiler","Profiler","Profiler","探查","Profiler","Profiler","Hồ sơ","プロファイラ","Profiler","프로파일 러","ప్రొఫైలర్","प्रोफाइलर","التعريف"
"Compare Objects","Compare Objects","Objekte vergleichen","comparer objets","Sammenlign objekter","比较对象","Comparación de objetos","Сравнение объектов","Hãy so sánh các đối tượng","オブジェクトを比較","sammenligne objekter","객체 비교","వస్తువులు పోల్చి","वस्तुओं की तुलना करें","مقارنة كائنات"
"Links","Links","Links","links","Links","链接","Campo de golf","связи","Liên kết","リンク","lenker","모래밭","లింకులు","लिंक","الروابط"
"What's New","What's New","Was gibt's Neues","Quoi de neuf","Hvad er nyt","什么是新的","Qué hay de nuevo","Что нового","Có gì mới","新着情報","Hva er nytt","별일 없어요","ఏం న్యూ వార్తలు","नया क्या है","ما هو الجديد"
"Credits","Credits","Credits","Crédits","credits","积分","créditos","кредиты","Tín dụng","クレジット","studiepoeng","크레딧","క్రెడిట్స్","क्रेडिट","قروض"
"Forum","Forum","Forum","forum","Forum","论坛","Foro","Форум","Diễn đàn","フォーラム","Forum","법정","ఫోరం","मंच","المنتدى"
"Troubleshooting","Troubleshooting","Fehlerbehebung","dépannage","Fejlfinding","故障排除","Solución de problemas","Исправление проблем","Xử lý sự cố","トラブルシューティング","Feilsøking","문제 해결","సమస్య పరిష్కరించు","समस्या निवारण","استكشاف الأخطاء وإصلاحها"
"Exit","Exit","Ausgang","sortie","Udgang","出口","Salida","Выход","Lối thoát","出口","Exit","출구","నిష్క్రమించు","बाहर जाएं","ىخرج"
"Main","Main","Main","principal","Main","主要","Principal","Главный","Chủ yếu","メイン","Hoved","본관","ప్రధాన","मुख्य","الأساسية"
"Open","Open","Öffnen","ouvert","åbent","打开","Abierto","открыто","Mở","開いた","Åpen","열다","ఓపెన్","खुला","فتح"
"Create","Create","Erschaffen","créer","Opret","创建","Crear","Создайте","Tạo nên","作ります","Skape","몹시 떠들어 대다","సృష్టించు","सर्जन करना","خلق"
"Core","Core","Kern","noyau","Core","核心","Núcleo","ядро","Cốt lõi","コア","Kjerne","핵심","కోర్","कोर","النواة"
"Graphics Quality","Graphics Quality","Grafikqualität","Qualité graphique","Grafik Kvalitet","图形质量","Calidad de los gráficos","Качество графики","Chất lượng đồ họa","グラフィックの質","Grafikkvalitet","그래픽 품질","గ్రాఫిక్స్ నాణ్యత","ग्राफिक्स की गुणवत्ता","جودة الرسومات"
"Video","Video","Video","vidéo","video","视频","Vídeo","видео","Video","ビデオ","video","비디오","వీడియో","वीडियो","فيديو"
"Texture Resolution","Texture Resolution","Textur-Auflösung","Texture Résolution","Texture Opløsning","纹理分辨率","Resolución de textura","Разрешение текстур","Độ phân giải kết cấu","テクスチャ解像度","Texture Resolution","텍스처 해상도","రూపురేఖలకు రిజల్యూషన్","बनावट संकल्प","قرار الملمس"
"Filtering Quality","Filtering Quality","Filterqualität","qualité de filtre","Filtrering Kvalitet","过滤质量","filtrado de Calidad","Фильтрация качества","Chất lượng lọc","フィルタリングの品質","filtrering Kvalitet","필터링 품질","వడపోత నాణ్యత","छनन गुणवत्ता","تصفية الجودة"
"Effects Quality","Effects Quality","Effects Qualität","effets qualité","effekter Kvalitet","影响质量","efectos de Calidad","эффекты качества","Hiệu ứng chất lượng","効果の品質","effekter Kvalitet","효과 품질","ప్రభావాలు నాణ్యత","प्रभाव गुणवत्ता","آثار الجودة"
"Antialiasing","Antialiasing","Antialiasing","antialiasing","antialias","抗锯齿","antialiasing","Сглаживание","antialiasing","アンチエイリアシング","antialiasing","안티 앨리어싱","యాంటీఎలియాసింగ్","विरोधी अलियासिंग","الحواف"
"Vertical Sync","Vertical Sync","Vertical Sync","Vertical Sync","Lodret synkronisering","垂直同步","Sincronización vertical","Вертикальная синхронизация","Đồng bộ dọc","垂直同期","vertikal Sync","수직 동기","లంబ సమకాలీకరణ","ऊर्ध्वाधर सिंक","تزامن عمودي"
"Shadows","Shadows","Schatten","ombres","Shadows","阴影","Oscuridad","Тени","Shadows","影","Shadows","그림자","షాడోస్","छैया छैया","الظلال"
"Decals","Decals","Decals","Stickers","decals","贴花","calcomanías","Переводные картинки","đề can","デカール","dekaler","데칼","decals","decals","الشارات"
"Glows","Glows","Glows","Glows","gløder","光晕","resplandores","накаляет","phát sáng","光ります","gløder","광선","మెరుస్తున్నది","चमक","يضيء"
"Extra Particles","Extra Particles","Extra-Partikel","Particules supplémentaires","Ekstra Partikler","额外的颗粒","Las partículas adicionales","Дополнительные частицы","Particles thêm","エクストラ粒子","ekstra Partikler","추가 입자","అదనపు పార్టికల్స్","अतिरिक्त कण","الجسيمات إضافية"
"Displacement Mapping","Displacement Mapping","Displacement Mapping","Displacement mapping","Displacement Mapping","位移贴图","Mapeo de desplazamiento","Mapping Смещение","Displacement Mapping","ディスプレースメントマッピング","Displacement Mapping","변위 매핑","స్థానభ్రంశం మ్యాపింగ్","विस्थापन मानचित्रण","رسم الخرائط النزوح"
"Render Mode","Render Mode","Wiedergabemodus","mode de rendu","Render mode","渲染模式","Modo de renderizado","Рендер режим","Render Chế độ","レンダリングモード","Render Mode","모드 렌더링","మోడ్ రెండర్","प्रस्तुत मोड","جعل الوضع"
"Volume","Volume","Lautstärke","volume","Volumen","卷","Volumen","объем","Âm lượng","ボリューム","Volum","음량","వాల్యూమ్","आयतन","الصوت"
"Master Volume","Master Volume","Master","Master Volume","Master Volume","主音量","Volumen principal","Master Volume","Khối lượng tổng thể","マスターボリューム","Master Volume","마스터 볼륨","మాస్టర్ వాల్యూమ్","मूल संस्करण","الصوت الرئيسي"
"Music Volume","Music Volume","Musik","Volume de la musique","Musik Volume","音乐音量","Volumen de la música","Громкость музыки","Âm lượng nhạc","音楽の音量","Music Volume","음악 볼륨","సంగీతం వాల్యూమ్","संगीत की आवाज","طبقة صوت الموسيقا"
"Input","Input","Eingabe","contribution","Input","输入","Entrada","вход","Đầu vào","入力","Input","입력","ఇన్పుట్","इनपुट","إدخال"
"Invert Scroll Wheel","Invert Scroll Wheel","Scrollrad Invertieren","Molette de défilement Inverser","Inverter rullehjul","反转滚轮","Rueda de desplazamiento invertido","Инверсия колесо прокрутки","Invert Scroll Wheel","反転スクロールホイール","Inverter Scroll Wheel","반전 스크롤 휠","ఫలములలో స్క్రోల్ చక్రం","उलटें स्क्रॉल व्हील","عكس عجلة التمرير"
"Use Controller","Use Controller","Verwende Regler","Utilisez Controller","Brug Controller","使用控制器","uso del controlador","Использование контроллера","sử dụng điều khiển","コントローラを使用","bruk Controller","사용 컨트롤러","కంట్రోలర్ ఉపయోగించండి","उपयोग नियंत्रक","استخدام وحدة تحكم"
"Performance","Performance","Leistung","performance","ydelse","性能","Actuación","Представление","Hiệu suất","演奏","Opptreden","공연","ప్రదర్శన","प्रदर्शन","أداء"
"Use multi-core","Use multi-core","Multi-Core","Utilisez multi-core","Brug multi-core","使用多核心","Utilizar varios núcleos","Использование многоядерных","Sử dụng đa lõi","マルチコアを使用します","Bruk multi-core","멀티 코어를 사용하여","మల్టీ-కోర్ ఉపయోగించండి","मल्टी कोर का उपयोग करें","استخدام متعددة النواة"
"Pause on low FPS","Pause on low FPS","Pause bei niedrigen FPS","Pause à faible FPS","Pause på lav FPS","暂停低FPS","Pausa en baja FPS","Пауза на низких FPS","Tạm dừng FPS thấp trên","低FPSに一時停止","Pause på lav FPS","낮은 FPS에 일시 정지","తక్కువ FPS పై పాజ్","पर कम एफपीएस रोकें","وقفة على انخفاض FPS"
"Low FPS Threshold","Low FPS Threshold","Low FPS Threshold","Low Threshold FPS","Lav FPS Threshold","低门槛FPS","Umbral bajo FPS","Низкий FPS Порог","FPS Threshold thấp","低FPSしきい値","Lav FPS Threshold","낮은 FPS 임계 값","తక్కువ FPS థ్రెషోల్డ్","कम एफपीएस थ्रेसहोल्ड","انخفاض عتبة FPS"
"Max Attracting Bodies","Max Attracting Bodies","Max Gewinnung Bodies","Max Attirer organes","Max Tiltrækning Organer","最大吸引机构","Max Atraer Cuerpos","Макс Привлечение органов","Max Thu hút các Cơ quan","マックスは、ボディを誘致します","Max Tiltrekke Bodies","최대 기관 유치","మాక్స్ ఆకర్షించడం బాడీస్","मैक्स निकायों को आकर्षित","ماكس جذب الهيئات"
"Max Non-Attracting Bodies","Max Non-Attracting Bodies","Max Nicht Gewinnung Bodies","Organismes non-Max Attirer","Max Ikke-Tiltrækning organer","最大非吸引机构","Cuerpos Max no Atraer","Max Non-притягивающие тела","Max không thu hút các Cơ quan","マックス非誘致機関","Max Non-Tiltrekke Bodies","최대 기관을 비 유치","మాక్స్ కాని ఆకర్షించడం బాడీస్","मैक्स गैर आकर्षित निकायों","ماكس عدم جذب الهيئات"
"Max Decals","Max Decals","Max Decals","max Stickers","Max Decals","最大贴花","Max Calcomanías","Макс Decals","Max Decals","マックス・デカール","Max dekor","최대 데칼","మాక్స్ Decals","मैक्स Decals","ماكس الشارات"
"Debug","Debug","Debug Info","déboguer","debug","调试","Depurar","Отлаживать","debug","デバッグ","Debug","디버그","డీబగ్","डिबग","التصحيح"
"Debug Info","Debug Info","Debug Info","informations de débogage","debug Info","调试信息","Información de depuración","Debug Info","Thông tin gỡ lỗi","デバッグ情報","Feilsøkingsinformasjon","디버그 정보","డీబగ్ సమాచారం","दोषमार्जन सूचना","معلومات التصحيح"
"Attractor Lines","Attractor Lines","Attraktor Linien","Lignes attracteur","Attractor Lines","吸引线","Líneas atractor","Аттракторные линии","dòng attractor","アトラクタライン","attraktor Lines","어 트랙터 라인","ఆకర్షించే లైన్స్","अट्रैक्टर लाइन्स","خطوط الجذاب"
"Impact Lines","Impact Lines","Einschlags-Linien","Lignes d'impact","Impact Lines","影响线","Líneas de impacto","ударные линии","dòng tác động","インパクトライン","Impact Lines","충격 라인","ఇంపాక్ట్ లైన్స్","प्रभाव लाइन्स","خطوط تأثير"
"linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault","linkMassToBodyDefault"
"linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault","linkRadiusToBodyDefault"
"linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault","linkAtmosphereDefault"
"TargetFrameRate","TargetFrameRate","Ziel","targetFrameRate","TargetFrameRate","TargetFrameRate","TargetFrameRate","TargetFrameRate","Tỷ lệ khung mục tiêu","TargetFrameRate","TargetFrameRate","TargetFrameRate","TargetFrameRate","TargetFrameRate","TargetFrameRate"
"Window Resolution","Window Resolution","Fenster Resolution","fenêtre Résolution","Window Opløsning","窗口分辨率","Resolución ventana","окно Разрешение","Nghị quyết window","ウィンドウの解像度","vindu Oppløsning","윈도우 해상도","విండో రిజల్యూషన్","खिड़की संकल्प","قرار نافذة"
"Reset","Reset","Zurücksetzen","remettre","Nulstil","重启","Reiniciar","Сброс","Thiết lập lại","リセット","tilbakestille","다시 놓기","రీసెట్","रीसेट","إعادة تعيين"
"Settings","Settings","Einstellungen","Paramètres","Indstillinger","设置","ajustes","настройки","Cài đặt","設定","innstillinger","설정","సెట్టింగులు","सेटिंग्स","إعدادات"
"Add","Add","Hinzufügen","ajouter","tilføje","加","Añadir","Добавить","Thêm vào","加えます","Legg til","더하다","చేర్చు","जोड़ना","إضافة"
"Powers","Powers","Powers","pouvoirs","beføjelser","鲍尔斯","Potestades","полномочия","Quyền hạn","パワーズ","Powers","힘","పవర్స్","पॉवर्स","القوى"
"Chart","Chart","Grafik","graphique","Chart","图表","Gráfico","Диаграмма","Đồ thị","チャート","Chart","차트","చార్ట్","चार्ट","خريطة"
"Properties","Properties","Immobilien","propriétés","Egenskaber","属性","propiedades","свойства","Tính chất","プロパティ","Egenskaper","등록","గుణాలు","गुण","الخصائص"
"Each Frame","Each Frame","Jedes Bild","chaque cadre","Hver ramme","每一帧","cada cuadro","Каждый кадр","mỗi khung","各フレーム","hver ramme","각각의 프레임","ప్రతి ఫ్రేమ్","प्रत्येक फ्रेम","كل الإطار"
"On Demand","On Demand","Auf Anfrage","sur Demande","On Demand","一经请求","Bajo demanda","По требованию","On Demand","オンデマンド","På etterspørsel","온 디맨드","కోరిక మేరకు","मांग पर","على الطلب"
"Graph","Graph","Diagramm","graphique","graf","图形","Grafico","график","đồ thị","グラフ","Kurve","그래프","గ్రాఫ్","ग्राफ़","رسم بياني"
"Timespan","Timespan","Zeitraum","Timespan","timespan","时间跨度","Espacio de tiempo","Промежуток времени","Khoảng thời gian","期間","Tidsrom","시간 범위","కాల వ్యవధి","समय अवधि","الفترة الزمنية"
"X Value","X Value","X-Wert","X Valeur","X Value","X值","X Valor","Значение X","X Giá trị","X値","X Verdi","X 값","X విలువ","एक्स मूल्य","القيمة X"
"X Unit","X Unit","X-Einheit","X Unité","X Unit","X单位","Unidad X","Раздел X","Đơn vị X","Xユニット","X Unit","X 단위","X యూనిట్","एक्स यूनिट","وحدة X"
"Y Value","Y Value","Y Wert","Y Valeur","Y Value","Y值","Y Valor","Значение Y","Y Value","Y値","Y Verdi","Y 값","Y విలువ","Y मूल्य","قيمة Y"
"Y Unit","Y Unit","Y-Einheit","Unité Y","Y Unit","Y单","Y Unidad","Unit Y","Đơn vị Y","Yユニット","Y Unit","Y 단위","Y యూనిట్","वाई यूनिट","وحدة Y"
"Advanced","Advanced","Fortgeschritten","avancé","Avanceret","高级","Avanzado","продвинутый","Nâng cao","高度","Avansert","많은","ఆధునిక","उन्नत","المتقدمة"
"MouseSensitivity","MouseSensitivity","Maus Sensibilität","mouseSensitivity","MouseSensitivity","鼠标灵敏度","Sensibilidad del ratón","Чувствительность мыши","Độ nhạy của chuột","マウス感度","MouseSensitivity","마우스 감도","MouseSensitivity","माउस संवेदनशीलता","حساسية الفأرة"
"X Axis","X Axis","X-Achse","Axe X","X Axis","X轴","Eje X","Ось X","X Axis","X軸","X Axis","X 축","X యాక్సిస్","X अक्ष","X محور"
"Y Axis","Y Axis","Y-Achse","Axe Y","Y-akse","Y轴","Eje Y","Ось Y","trục Y","Y軸","Y-akse","Y 축","Y యాక్సిస్","वाई अक्ष","Y المحور"
"Legend","Legend","Legende","légende","Legend","传说","Leyenda","легенда","Huyền thoại","伝説","Legende","전설","లెజెండ్","किंवदंती","عنوان تفسيري"
"Labels","Labels","Beschriftung","étiquettes","Etiketter","标签","Etiquetas","Этикетки","nhãn","ラベル","etiketter","레이블","Labels","लेबल","تسميات"
"GridColor","GridColor","Raster Farbe","GridColor","GridColor","GridColor","GridColor","GridColor","GridColor","GridColor","GridColor","GridColor","GridColor","GridColor","GridColor"
"LabelsColor","LabelsColor","Text Farbe","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor","LabelsColor"
"HighlightColor","HighlightColor","Tooltip Farbe","highlightcolor","HighlightColor","HighlightColor","highlightColor","HighlightColor","HighlightColor","HighlightColor","highlight","HighlightColor","HighlightColor","हाइलाइट रंग","HighlightColor"
"Compare","Compare","Vergleichen","comparer","Sammenlign","比较","Comparar","сравнить","So sánh","比較します","Sammenligne","비교","సరిపోల్చండి","तुलना","قارن"
"Scripting","Scripting","Scripting","Scripting","Scripting","脚本","scripting","Scripting","Scripting","スクリプティング","scripting","스크립팅","స్క్రిప్టింగ్","स्क्रिप्टिंग","البرمجة"
"Paths","Paths","Pfade","chemins","Paths","路径","Caminos","пути","Paths","パス","Paths","경로","దారులు","पथ","مسارات"
"Scripts","Scripts","Skripte","Scripts","Scripts","脚本","Guiones","Сценарии","Scripts","スクリプト","scripts","스크립트","స్క్రిప్ట్లు","स्क्रिप्ट","مخطوطات"
"Ambience","Ambience","Ambience","ambiance","Atmosfære","环境","Ambiente","атмосфера","không khí","雰囲気","Ambience","분위기","పరిసరాల ఆహ్లాదం","माहौल","جو"
"Presets","Presets","Presets","présélections","Presets","预置","preajustes","Пресеты","Presets","プリセット","Presets","프리셋","అమరికలు","प्रीसेट","المسبقة"
"Grid","Grid","Gitter","grille","Grid","格","Cuadrícula","сетка","lưới","グリッド","Nett","그리드","గ్రిడ్","जाल","شبكة"
"Opacity","Opacity","Opazität","opacité","opacity","不透明度","Opacidad","помутнение","tính mờ","不透明度","opacity","불투명","అస్పష్ట","अस्पष्टता","غموض"
"3D Labels","3D Labels","3D Etiketten","étiquettes 3D","3D Labels","3D标签","Las etiquetas 3D","3D этикетки","Nhãn 3D","3Dラベル","3D-etiketter","3D 레이블","3D Labels","3 डी लेबल","تسميات 3D"
"Icons","Icons","Icons","icônes","Ikoner","图标","iconos","Иконки","Icons","アイコン","ikoner","아이콘","చిహ్నాలు","प्रतीक","الرموز"
"Trails","Trails","Trails","Trails","trails","路线","Caminos","Трассы","Trails","トレイル","stier","트레일","దారులు","ट्रेल्स","مسارات"
"Context","Context","Kontext","contexte","Kontekst","上下文","Contexto","контекст","Bối cảnh","コンテキスト","Kontekst","문맥","సందర్భం","प्रसंग","سياق الكلام"
"Width","Width","Breite","largeur","Bredde","宽度","Anchura","Ширина","Chiều rộng","幅","Bredde","폭","వెడల్పు","चौड़ाई","عرض"
"Length","Length","Länge","longueur","Længde","长度","Longitud","длина","Chiều dài","長さ","Lengde","길이","పొడవు","लंबाई","الطول"
"Intensity","Intensity","Intensität","intensité","Intensitet","强度","Intensidad","интенсивность","cường độ","強","Intensitet","강렬","ఇంటెన్సిటీ","तीव्रता","الشدة"
"Orbits","Orbits","Orbits","orbites","kredsløb","轨道","órbitas","Орбиты","quỹ đạo","軌道","baner","궤도","కక్ష్యలు","कक्षाओं","مدارات"
"Orbit Context","Orbit Context","Orbit Context","Orbit Contexte","Orbit Context","轨道上下文","Contexto órbita","Orbit Контекст","Orbit Context","オービットコンテキスト","Orbit Kontekst","궤도 컨텍스트","ఆర్బిట్ కంటెక్స్ట్","ऑर्बिट प्रसंग","المدار السياق"
"Orbit Width","Orbit Width","Orbit Breite","Orbit Largeur","Orbit Bredde","轨道宽度","Orbit Ancho","Orbit Ширина","Orbit Width","軌道幅","Orbit Bredde","폭 궤도","వెడల్పు ఆర్బిట్","ऑर्बिट चौड़ाई","تدور العرض"
